2013.7.03,,17090,"Syringe 10mL, Pad Printed - 36% CP",100000,100000,0,L,,,100000,,,,,,,,4800,to usa:(line only),4800,to usa (logo and line),76800,"2013.11.05: shipped to usa by container 48000pcs with logo, 28800 with line only",13600,2013.11.14: SHIPPED TO USA BY AIR 8000PCS WITH LOGO AND LINE. 5600PCS WITH LINE ONLY.,,,,,,,,,,,,
2013.7.23,,3040,Facial Bed White ,50,50,0,Sunny,,,50,,,,,,,,50,2013.11.05: shipped to usa by container,,,,,,,,,,,,,,,,,,
2013.7.23,,3010,Facial Bed Black ,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.10.16,,7504,Label Matisse Serial Number ,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.9.11,,1777,Take Home Premium (no liner) bag,60000,60000,0,Mr.Xia,,,60000,,,,,,,,5040,to usa,15120,to usa,39840,2013.11.05: shipped to usa by container,,,,,,,,,,,,,,
2013.10.9,,1778,Take Home Premium Yellow Bag (California),5000,5000,0,Mr.Xia,"31,Oct",,5018,,,,,,,,5018,2013.11.05: shipped to USA by container,,,,,,,,,,,,,,,,,,
2013.10.16,,1777,Take Home Premium (no liner) bag,50000,50000,0,Mr.Xia,"30,Nov",A,50000,,,,,,,,4320,2013.11.21: shipped to usa,45680,2013.12.12: shipped to usa by container,,,,,,,,,,,,,,,,
2013.9.13,,12570,White Mini LED Light (CE and WEEE mark),60000,60000,0,JACKY,,A,60000,,,,,,,,10000,to usa,8000,2013.10.29 to usa,32000,2013.11.05: shipped to usa by container,3500,2013.11.21: shipped to usa,6500,2013.12.12: shipped to usa by container,,,,,,,,,,
2013.9.18,,4040,Pro Kit Blister Tray,10000,10000,0,__,"31,Oct",A,10000,,,,,,,,1000,2013.11.21: shipped to usa,9000,2013.12.12: shipped to usa by container,,,,,,,,,,,,,,,,
2013.10.9,,1779,Plastic Box - for Premium Kit (California),5000,5000,0,__,"3,Nov",,5160,,,,,,,,5160,2013.11.05: shipped to usa by container,,,,,,,,,,,,,,,,,,
2013.10.14,,1782,Plastic Box - for Premium Kit Sodium Perborate (Sara),1000,1000,0,__,"3,Nov",A,1000,,,,,,,,400,2013.11.05: SHIPPED TO SPAIN,200,send to Spain,400,2014.3.22: ship to spain 4184,,,,,,,,,,,,,,
2013.10.8,,7503,Matisse Footswitch Pedal (silver plug),100,100,0,Mei Ci,"4,Nov",A,100,,,,,,,,20,2013.11.28: send to JOJO for matisse machine,60,2013.12.12: shipped to usa by container,20,send to Alain's factory,,,,,,,,,,,,,,
2013.10.9,,16868,White Retainer Case (California),5000,5000,0,L,"31,Oct",,5000,,,,,,,,5000,2013.11.05: shipped to usa by container,,,,,,,,,,,,,,,,,,
2013.10.23,,7030,Cheek Retractor Large Clear,15000,15000,0,L,"4,Nov",,15000,,,,,,,,15000,"2013.11.05: shipped 15,000pcs to USA by container",,,,,,,,,,,,,,,,,,
2013.10.16,,16060,"Retainer Case - white, standard ",20000,20000,0,L,"8,Nov",A,20000,,,,,,,,8000,2013.11.14: shipped to USA by air,12000,2013.12.12: shipped to usa by container,,,,,,,,,,,,,,,,
2013.6.15,,16060,"Retainer Case - white, standard ",50000,50000,0,L,,,50000,,,,,,,,38000,,12000,2013.11.05: shipped to usa by container,,,,,,,,,,,,,,,,
2013.9.22,,19070,"Syringe caps, Clear",200000,200000,0,L,,A,200000,,,,,,,,40000,2013.10.11:shipped to USA,80000,2013.11.07: shipped to USA,80000,2013.12.11: shipped to usa,,,,,,,,,,,,,,
2013.10.22,,810,Silicone Seals,32000,32000,0,GLD,"1,Nov",,32000,,,,,,,,32000,2013.10.29: shipped to USA,,,,,,,,,,,,,,,,,,
2013.10.30,,7505,Matisse Machine,20,20,0,JOJO,"25,Dec",A,20,,,,,,,,20,shipped to UK on 2014.1.25,,,,,,,,,,,,,,,,,,
2013.11.01,,1010,Advanced BW 16% - box US & Canada ,2000,2000,0,___,"23,Nov",A,1600,,,,,,,,1600,2013.12.12: shipped to usa by container,,,,,,,,,,,,,,,,,,
2013.11.01,,1560,Pro Kit Box - BW,5000,5000,0,___,"23,Nov",A,5000,,,,,,,,5000,2013.12.04: SHIPPED TO USA,,,,,,,,,,,,,,,,,,
2013.11.01,,1510,"Pre-Loaded BW - box, Canada & US",5000,5000,0,___,"23,Nov",A,5000,,,,,,,,5000,2013.12.04: SHIPPED TO USA,,,,,,,,,,,,,,,,,,
2013.11.01,,1480,Planet Beach Pre-Loaded Tray - boxes ,2000,2000,0,___,"23,Nov",A,2000,,,,,,,,2000,2013.12.04: SHIPPED TO USA,,,,,,,,,,,,,,,,,,
2013.11.01,,6070,Box: DW EU Fusion - Percarbonate,10000,10000,0,___,"23,Nov",A,10100,,,,,,,,1550,2013.11.29: SHIPPED TO SPAIN,1550,2013.12.12: shipped to usa by container,3100,ship to UK on Jan.13th,3900,2014.1.23 shipped 3900pc to USA by container,,,,,,,,,,,,
2013.11.01,,6030,Box: CW EU Fusion - Percarbonate,10000,10000,0,___,"23,Nov",A,10100,,,,,,,,1500,Administrator:2013.11.29:SHIPPED TO SPAIN,1500,2013.12.12: shipped to usa by container,3000,ship to UK on Jan.13th,4100,"2014.1.23 shipped 4,100 pc to USA by container",,,,,,,,,,,,
2013.11.04,,11300,Label: CW EU Fusion - Percarbonate,11000,11000,0,__,"14,Nov",A,11000,,,,,,,,2000,2013.11.29: SHIPPED TO SPAIN,2000,sent to US by express on Dec.28th,4000,ship to UK on Jan.13th,3000,put in US container,,,,,,,,,,,,
2013.11.04,,11310,Label: DW EU Fusion - Percarbonate,11000,11000,0,__,"14,Nov",A,11000,,,,,,,,2000,2013.11.29: SHIPPED TO SPAIN,2000,sent to US by express on Dec.28th,4000,ship to UK on Jan.13th,3000,put in US container,,,,,,,,,,,,
